IdVenta,DocuVenta,Fecha,Total,SubTotal,IGV,IdVendedor,IdCliente
1,B/001-000815,2018-01-01 00:00:00,46,38.659999999999997,7.3499999999999996,1,1
2,B/001-000816,2018-01-01 00:00:00,7.5,6.2999999999999998,1.2,1,2
3,B/001-000817,2018-01-01 00:00:00,20,16.809999999999999,3.1899999999999999,1,3
4,B/001-000818,2018-01-01 00:00:00,5,4.2000000000000002,0.80000000000000004,3,4
5,B/001-000819,2018-01-01 00:00:00,46,38.659999999999997,7.3499999999999996,3,5
6,B/001-000820,2018-01-01 00:00:00,10,8.4000000000000004,1.6000000000000001,3,2
7,B/001-000821,2018-01-01 00:00:00,6.1600000000000001,5.1799999999999997,0.97999999999999998,3,3
8,B/001-000822,2018-01-01 00:00:00,32,26.890000000000001,5.1100000000000003,3,4
9,B/001-000823,2018-01-01 00:00:00,10,8.4000000000000004,1.6000000000000001,3,2
10,B/001-000824,2018-01-01 00:00:00,13,10.92,2.0699999999999998,2,4
11,B/001-000825,2018-01-02 00:00:00,9,7.5599999999999996,1.4399999999999999,1,3
12,B/001-000826,2018-01-02 00:00:00,6,5.04,0.95999999999999996,1,1
13,B/001-000827,2018-01-02 00:00:00,12,10.08,1.9199999999999999,1,2
14,B/001-000828,2018-01-02 00:00:00,43,36.130000000000003,6.8600000000000003,1,3
15,B/001-000829,2018-01-02 00:00:00,18,15.130000000000001,2.8700000000000001,3,4
16,B/001-000830,2018-01-02 00:00:00,10,8.4000000000000004,1.6000000000000001,1,3
17,B/001-000831,2018-01-02 00:00:00,29,24.370000000000001,4.6299999999999999,2,4
18,B/001-000832,2018-01-02 00:00:00,16,13.449999999999999,2.5600000000000001,2,12
19,B/001-000833,2018-01-04 00:00:00,17,14.289999999999999,2.7200000000000002,3,12
20,B/001-000834,2018-01-04 00:00:00,10.5,8.8200000000000003,1.6799999999999999,3,13
21,B/001-000835,2018-01-04 00:00:00,19,15.970000000000001,3.0299999999999998,3,12
22,B/001-000836,2018-01-04 00:00:00,10.800000000000001,9.0800000000000001,1.73,3,12
23,B/001-000837,2018-01-04 00:00:00,18,15.130000000000001,2.8700000000000001,3,23
24,B/001-000838,2018-01-04 00:00:00,6,5.04,0.95999999999999996,3,12
25,B/001-000839,2018-01-04 00:00:00,5,4.2000000000000002,0.80000000000000004,3,12
26,B/001-000840,2018-01-05 00:00:00,16,13.449999999999999,2.5600000000000001,3,14
27,B/001-000841,2018-01-05 00:00:00,10,8.4000000000000004,1.6000000000000001,3,12
